Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
06/16/2021 23:13,06/17/2021 05:16,EURUSD,Buy,0.01,1.2001000000000002,1.2003700000000002,2.7,0.27,0,0
06/16/2021 23:17,06/17/2021 05:15,EURUSD,Buy,0.01,1.2000899999999999,1.20036,2.7,0.27,0,0
06/17/2021 00:18,06/17/2021 05:11,EURUSD,Buy,0.01,1.19945,1.20035,9.0,0.9,0,0
06/16/2021 23:09,06/17/2021 05:11,GBPUSD,Buy,0.01,1.39972,1.3996700000000002,-0.5,-0.05,0,0
06/17/2021 02:05,06/17/2021 05:07,EURUSD,Buy,0.01,1.19925,1.1999799999999998,7.3,0.73,0,0
06/17/2021 00:56,06/17/2021 04:56,EURUSD,Buy,0.02,1.19933,1.19992,5.9,1.18,0,0
06/17/2021 02:42,06/17/2021 04:30,GBPUSD,Buy,0.01,1.39851,1.3991900000000002,6.8,0.68,0,0
06/17/2021 00:48,06/17/2021 04:24,EURUSD,Buy,0.02,1.1993600000000002,1.19981,4.5,0.9,0,0
06/17/2021 02:19,06/17/2021 04:23,EURUSD,Buy,0.02,1.1992200000000002,1.19981,5.9,1.18,0,0
06/17/2021 03:15,06/17/2021 03:29,EURUSD,Buy,0.02,1.1986,1.19925,6.5,1.3,0,0
06/16/2021 23:13,06/17/2021 01:59,GBPUSD,Buy,0.01,1.3990200000000002,1.39945,4.3,0.43,0,0
06/17/2021 01:04,06/17/2021 01:59,EURUSD,Buy,0.03,1.19941,1.1998000000000002,3.9,1.17,0,0
06/16/2021 23:24,06/17/2021 01:57,XAUUSD,Buy,0.01,1827.08,1819.04,-80.4,-8.04,0,0
06/16/2021 23:40,06/17/2021 01:49,GBPUSD,Buy,0.02,1.3985200000000002,1.3995300000000002,10.1,2.02,0,0
06/16/2021 23:31,06/17/2021 01:44,XAUUSD,Buy,0.01,1821.75,1816.55,-52.0,-5.2,0,0
06/16/2021 23:39,06/17/2021 01:40,XAUUSD,Buy,0.01,1819.85,1814.9,-49.5,-4.95,0,0
06/16/2021 23:55,06/17/2021 01:27,GBPUSD,Buy,0.03,1.39834,1.39915,8.1,2.43,0,0
06/16/2021 23:41,06/17/2021 01:03,XAUUSD,Buy,0.02,1815.13,1813.19,-19.4,-3.88,0,0
06/16/2021 23:51,06/16/2021 23:55,XAUUSD,Buy,0.02,1809.61,1810.24,6.3,1.26,0,0
06/16/2021 23:42,06/16/2021 23:47,XAUUSD,Buy,0.01,1810.67,1812.99,23.2,2.32,0,0
06/16/2021 23:15,06/16/2021 23:27,GBPUSD,Buy,0.02,1.39857,1.3991900000000002,6.2,1.24,0,0
